City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
kalomo,nan,nan,nan,nan,nan
arlit,18.74,48.82,78,8,3.76
verkhnedneprovskiy,54.98,7.87,81,48,8.39
lavrentiya,65.58,2.47,87,0,29.59
pueblo,38.25,46.04,21,1,9.17
tshikapa,-6.42,73.35,96,64,2.01
saint-philippe,45.36,31.86,91,90,6.93
sergeyevka,53.88,4.41,78,76,11.3
bredasdorp,-34.53,69.8,73,92,8.05
gillette,44.29,28.94,44,1,5.82
hervey bay,-25.3,78.8,74,90,10.29
oriximina,-1.77,74.52,98,48,3.2
burica,nan,nan,nan,nan,nan
sisimiut,66.94,1.3,100,64,1.86
magway,20.15,64.84,100,76,2.19
vallenar,-28.58,62.46,63,0,2.19
santa cruz,36.97,60.4,72,75,9.17
banjar,-7.37,73.44,97,64,2.68
mogadishu,2.04,79.83,99,92,21.81
yellowknife,62.45,-16.61,75,75,4.7
guarapari,-20.67,78.8,83,0,13.87
narsaq,60.91,26.5,95,92,1.68
grindavik,63.84,46.4,100,90,20.8
tautira,-17.73,82.4,83,90,9.17
san rafael del sur,11.85,84.2,54,20,11.41
preobrazheniye,42.9,1.3,58,0,2.8
castro,-42.48,50,71,75,11.41
sawtell,-30.38,79.99,58,80,12.75
nieuw amsterdam,5.88,77.79,78,0,4.7
brae,60.4,38.19,64,24,16.11
staryy nadym,65.61,-14.32,65,48,3.2
flin flon,54.77,1.4,70,75,11.41
el faiyum,nan,nan,nan,nan,nan
farafangana,-22.82,81.04,99,76,12.53
puerto cabezas,14.04,82.4,83,40,9.17
longyearbyen,78.22,23,67,75,19.46
ahipara,-35.17,78.25,62,12,0.51
north bend,43.41,60.08,69,75,9.17
te anau,-45.41,65.65,42,48,13.82
vostok,46.45,-4.87,64,12,4.59
yaan,7.38,70.92,32,0,9.73
east london,-33.02,72.63,100,68,2.24
coahuayana,18.62,78.52,47,0,2.19
san vicente,13.64,79.95,74,40,3.36
gazanjyk,39.24,32.04,93,56,5.1
fairbanks,64.84,-12.86,80,75,3.2
sao filipe,14.9,73.57,96,0,11.63
hamilton,32.3,59,62,75,4.7
batagay,67.65,-54.19,0,20,2.86
atuona,-9.8,81,100,68,14.94
jieshi,22.82,60.84,99,92,19.35
chokurdakh,70.62,-29.35,48,0,3.2
san ramon,12.92,71.6,73,40,4.7
rognan,67.1,35.6,93,75,26.4
veinticinco de mayo,-27.38,76.72,91,76,6.82
attawapiskat,nan,nan,nan,nan,nan
severo-kurilsk,50.68,25.42,100,48,15.32
arman,59.7,-1.99,67,8,5.21
kununurra,-15.77,87.8,62,8,5.82
petropavlovsk-kamchatskiy,53.05,21.2,67,0,11.18
druzhba,49.36,12.37,88,68,9.01
omsukchan,62.53,-23.77,95,64,3.09
amga,60.89,-30.25,48,12,2.57
moroni,39.52,35.19,77,44,2.24
methoni,36.82,53.19,100,32,16.84
mahebourg,-20.41,78.8,78,40,11.41
aksu,52.04,12.2,85,0,6.71
nikolskoye,59.7,26.6,86,75,2.24
labuhan,-2.54,75.37,94,92,1.45
cuamba,-14.8,70.56,97,92,3.36
whitehorse,60.72,-25.61,74,20,3.36
barcelos,41.53,41.9,57,0,3.36
dikson,73.51,-10.76,100,36,10.92
nanortalik,60.14,30.82,99,92,24.34
bambous virieux,-20.34,78.8,78,40,11.41
noyabrsk,63.2,-8.06,78,76,7.61
port macquarie,-31.43,80.6,65,92,3.36
the pas,53.82,3.2,77,90,18.34
progreso,-34.68,80.6,65,75,10.29
provideniya,64.42,3.2,77,40,29.08
ribeira grande,38.52,63.72,95,20,26.84
kem,2.68,68.22,46,48,5.77
kodiak,39.95,42.66,21,1,16.11
samarai,-10.62,84.82,97,0,14.27
touros,-5.2,80.6,83,20,9.17
tuktoyaktuk,69.44,-31.01,73,20,3.36
miquelon,47.1,23.13,100,12,15.17
avera,33.19,63.66,65,1,8.05
teahupoo,-17.83,82.4,83,90,9.17
benghazi,32.12,59.04,100,0,14.43
bengkulu,nan,nan,nan,nan,nan
hastings,-39.64,71.19,96,0,14.61
koungou,nan,nan,nan,nan,nan
samusu,nan,nan,nan,nan,nan
ketchikan,55.34,35.04,69,20,12.75
saleaula,nan,nan,nan,nan,nan
praia da vitoria,38.73,60.8,77,20,23.04
iqaluit,63.75,-27.41,67,5,4.7
kapaa,22.08,78.08,68,75,5.82
mocambique,nan,nan,nan,nan,nan
airai,-8.93,75.24,90,24,2.01
kavaratti,10.57,81.36,100,0,9.51
nuuk,64.17,17.6,92,90,14.99
the valley,18.22,74.35,83,40,10.29
miraflores,5.2,53.37,100,92,1.68
mackay,53.65,2.35,77,20,4.7
basco,40.33,43.43,45,1,21.92
taoudenni,22.68,42.75,48,0,5.26
king city,36.21,62.06,69,20,13.87
hudson bay,52.86,5.35,65,56,7.78
japura,-0.42,73.89,98,64,2.8
bin qirdan,33.14,45.49,81,32,9.13
berbera,nan,nan,nan,nan,nan
eyl,7.98,74.61,98,80,16.55
bontang,0.12,82.57,95,36,9.62
viransehir,37.24,37.57,99,92,8.01
butaritari,3.07,85.45,99,24,12.03
hay river,60.82,-7.61,69,75,4.7
henties bay,-22.12,60.12,100,8,5.26
nantucket,41.28,46.27,100,90,8.05
juneau,58.3,23.16,87,20,2.8
gaillac,43.9,43.7,100,90,20.8
san patricio,-26.98,79.02,93,44,5.88
nizhniy kuranakh,58.84,-1.13,74,68,2.57
dois vizinhos,-25.75,74.74,84,92,5.32
gamba,28.28,-24.71,20,32,2.19
laguna,27.52,69.8,56,90,6.93
toftir,nan,nan,nan,nan,nan
kudahuvadhoo,2.67,82.44,100,88,15.1
lompoc,34.64,61.36,77,20,6.93
shimoda,34.7,40.42,37,20,11.41
shaki,7.9,67.54,52,8,4.25
marrakesh,31.63,39.2,60,0,2.24
krasnoselkup,nan,nan,nan,nan,nan
pundaguitan,6.37,80.37,100,24,12.3
jibuti,nan,nan,nan,nan,nan
yulara,-25.24,82.4,26,0,17.22
gat,14.69,69.8,60,0,16.11
miedzychod,52.6,35.6,100,90,10.29
griffith,-34.29,75.2,47,0,11.41
formosa,-26.19,84.2,79,75,9.17
tukrah,nan,nan,nan,nan,nan
talnakh,69.49,-9.28,82,48,2.98
shushtar,32.05,53.59,94,92,7.27
shkurinskaya,46.58,21.1,92,80,13.87
college,64.86,-15.81,80,75,3.2
kaitangata,-46.28,67.05,66,80,2.35
rock springs,41.59,28.04,71,1,5.82
sao sebastiao,-3.15,77.49,92,48,1.79
san cristobal,-0.39,59,72,75,3.36
nyurba,63.29,-2.21,81,68,4.32
alto araguaia,-17.32,71.19,84,32,4.88
faya,18.39,59,24,0,9.17
portland,45.52,48.16,63,90,11.41
luderitz,-26.65,59.49,79,0,13.15
kuah,nan,nan,nan,nan,nan
lata,30.78,29.92,87,0,2.08
banyo,6.75,61.47,52,0,4.47
korla,nan,nan,nan,nan,nan
egvekinot,66.32,-34.3,60,0,4.59
tecpan,14.76,71.6,49,40,18.34
sola,58.89,38.41,74,0,19.46
bilibino,68.06,-11.48,54,0,5.37
ondorhaan,nan,nan,nan,nan,nan
cozumel,nan,nan,nan,nan,nan
margate,-43.03,62.6,80,0,20.8
evensk,61.92,14.22,100,64,22.88
anadyr,64.73,5,71,75,20.13
lagoa,37.14,48.2,87,0,4.7
along,28.17,40.99,72,0,1.79
kaili,-3.46,74.65,85,64,2.98
kizhinga,51.85,-0.41,49,0,5.21
hambantota,6.12,76.5,100,0,13.04
maniitsoq,65.42,16.74,100,0,17.56
kampene,-3.59,69.93,90,68,1.97
caravelas,-17.73,80.95,98,32,14.43
falmouth,50.16,46.4,75,76,13.87
georgetown,6.8,78.64,83,40,9.17
san carlos de bariloche,-41.13,42.8,81,75,19.46
kinkala,-4.35,73.4,94,75,4.7
hofn,64.25,40.99,96,80,16.96
mount gambier,-37.83,60.8,48,75,11.41
kampot,10.62,76.08,83,20,5.82
mayumba,-3.44,77.4,100,20,5.1
panguna,-6.32,83.52,82,20,2.86
port hawkesbury,45.62,23,85,75,3.36
rafaela,-31.25,79.15,81,88,9.84
rio grande,-32.03,77.13,88,88,17.85
guerrero negro,27.97,69.03,43,20,4.99
thinadhoo,0.53,82.71,100,88,14.83
bur gabo,nan,nan,nan,nan,nan
sankt andra,nan,nan,nan,nan,nan
ust-maya,60.42,-37.45,72,12,2.68
sorland,67.67,40.5,100,68,32.17
port elizabeth,39.31,43.95,99,1,11.36
jalu,29.03,37.12,81,0,2.57
saint george,39.45,19.72,67,40,8.05
itarema,-2.92,76.09,93,76,7.34
padang,-0.92,77,94,40,4.7
bonfim,-20.33,71.19,78,24,4.81
chuy,-33.69,74.43,80,0,15.28
matoury,4.85,77,83,20,2.24
galdar,28.15,62.6,59,0,9.17
tazovskiy,67.47,-18.05,78,36,3.31
vila franca do campo,37.72,60.8,67,20,19.46
honiara,-9.43,83.61,79,20,2.57
jardim,-21.48,79.42,77,44,10.02
north battleford,52.78,-4.01,64,1,9.17
ambo,8.98,33.93,49,0,3.47
half moon bay,37.46,59.65,72,90,5.82
san quintin,17.54,67.09,75,0,4.88
port-cartier,50.03,23,85,90,23.04
sibiti,-3.69,70.65,98,88,2.86
roald,62.58,33.57,93,88,18.34
kazalinsk,nan,nan,nan,nan,nan
dauphin,51.15,1.4,70,1,21.92
sumbe,-11.2,77.44,100,88,6.6
ambilobe,-13.19,71.14,100,88,1.23
kashan,33.99,41,56,0,4.59
honningsvag,70.98,26.01,100,0,6.04
podbelsk,nan,nan,nan,nan,nan
nautla,20.22,76,99,0,11.41
hokitika,-42.72,64.35,84,32,5.99
constitucion,23.99,77,17,75,2.24
cherskiy,68.75,-22.28,33,0,1.86
bardiyah,nan,nan,nan,nan,nan
dayong,11.74,80.01,100,8,20.92
havre-saint-pierre,50.23,12.2,72,90,11.41
viedma,-40.81,71.82,29,92,21.54
sentyabrskiy,nan,nan,nan,nan,nan
hobe sound,27.06,68.9,82,20,0.96
coihaique,-45.58,41,86,75,2.24
kang,-23.67,71.32,59,0,5.21
tessalit,20.2,51.57,33,88,5.82
ixtapa,20.71,77,83,20,10.29
sassandra,4.95,82.44,100,68,9.91
cangucu,-31.39,74.25,94,88,9.35
huilong,28.89,31.86,96,92,4.21
grand river south east,nan,nan,nan,nan,nan
lieksa,63.32,22.23,86,80,2.57
dunedin,-45.87,69.75,68,68,6.55
tiksi,71.64,-36.5,70,8,3.2
kokkola,63.84,19.4,92,90,2.24
saint anthony,43.97,22.23,80,1,6.93
kupang,-10.16,82.71,94,88,5.59
zapolyarnyy,69.43,17.6,92,20,14.99
ovalle,-30.6,63.18,67,0,3.09
shahr-e kord,32.33,33.8,100,90,9.17
tinosu,44.82,18.52,92,0,8.05
tonj,nan,nan,nan,nan,nan
xining,36.62,-8.6,47,0,2.53
tombouctou,16.77,61.6,33,88,6.89
kerki,nan,nan,nan,nan,nan
shache,38.42,11.25,74,24,0.96
pandan,11.72,80.01,100,8,20.92
bolu,40.73,19.98,89,76,2.35
nizhneyansk,nan,nan,nan,nan,nan
asfi,nan,nan,nan,nan,nan
fandriana,-20.24,61.29,95,32,2.46
staraya poltavka,50.48,-0.55,89,24,4.32
ancud,-41.87,50,71,75,11.41
acarau,nan,nan,nan,nan,nan
udimskiy,61.14,22.14,91,88,8.01
turukhansk,65.8,-12.07,76,44,5.59
manggar,-2.88,77.62,100,24,2.86
marsh harbour,26.54,75.06,100,88,3.09
marcona,nan,nan,nan,nan,nan
amderma,nan,nan,nan,nan,nan
moranbah,-22,72.9,100,92,16.33
sokol,59.46,20.7,93,92,6.71
vytegra,61.01,23.94,92,92,5.82
safaga,nan,nan,nan,nan,nan
biltine,14.53,62.95,25,8,12.64
outjo,-20.11,59.22,51,0,3.69
pontes e lacerda,-15.23,75.6,86,56,4.59
maldonado,-34.91,77,65,75,10.29
hovd,63.83,35.65,88,75,18.34
mount pleasant,33.16,58.42,30,1,5.82
nuevo progreso,26.05,77.05,62,75,4.7
ullapool,57.9,42.57,100,48,8.34
tarudant,nan,nan,nan,nan,nan
leningradskiy,69.38,-8.02,97,0,20.92
whitianga,-36.83,69.93,98,80,10.07
roros,62.57,26.6,92,80,16.11
areosa,41.72,46.35,57,0,3.36
glendive,47.11,23.16,48,1,16.11
kahului,20.89,77.99,46,20,16.11
hyderabad,17.36,51.8,93,0,2.75
zalantun,48,2.02,57,0,4.76
meulaboh,4.14,78.84,100,32,2.98
palmer,-34.85,69.8,37,40,10.29
deshna,nan,nan,nan,nan,nan
umm lajj,25.02,54.94,100,0,9.13
kutum,14.2,50.35,36,0,9.57
aitape,-3.15,83.25,87,8,8.34
maragogi,-9.01,75.87,99,92,5.48
surgana,20.56,41.85,80,0,2.57
yirol,nan,nan,nan,nan,nan
dolbeau,nan,nan,nan,nan,nan
hirara,24.8,64.4,93,75,18.34
portel,38.31,42.8,75,0,1.12
samsun,41.29,37.4,86,90,25.28
batemans bay,-35.71,67.77,99,80,4.59
kazerun,29.62,49.72,89,48,2.08
gua musang,4.88,73.17,95,88,1.23
seydi,13.34,54.18,37,44,10.29
melville,50.93,-2.21,70,1,19.46
loreto,-23.27,82.08,80,32,10.92
youkounkoun,12.53,65.88,62,0,3.53
horodnya,51.89,0.72,72,44,2.98
miranpur,29.29,42.3,94,0,7.9
meiktila,20.88,58.99,92,64,2.35
homer,59.64,22.66,84,1,4.7
asyut,27.18,46.4,75,0,12.75
santa isabel,4.71,69.35,78,75,6.93
tigil,57.8,-9.46,49,20,1.34
skjervoy,70.03,36.85,100,76,8.84
vorukh,39.85,8.95,78,32,1.79
sawakin,19.1,70.47,92,88,11.25
lokoja,7.8,66.19,68,0,1.34
ucluelet,48.94,42.8,93,90,8.05
vreed en hoop,nan,nan,nan,nan,nan
ostrovnoy,68.05,13.23,92,76,13.76
beloha,-25.17,71.37,94,0,4.09
guanica,17.97,75.2,73,90,13.87
araripe,-7.21,68.62,91,32,6.38
canto do buriti,-8.11,77.44,72,88,7.27
brigantine,39.41,45.36,100,90,4.7
cabedelo,-6.97,80.6,78,20,11.41
puerto del rosario,28.5,59,82,48,6.93
namibe,-15.19,72.4,100,0,2.08
kangaatsiaq,68.31,9,100,32,23.67
pevek,69.7,-14.68,67,0,4.99
bargal,nan,nan,nan,nan,nan
gejiu,23.36,46.39,100,92,2.68
cayenne,4.94,77,83,20,2.24
fairview,40.81,41.43,88,90,5.77
ulfborg,56.27,39.2,69,92,21.92
taunsa,30.7,48.55,95,36,4.32
east norriton,40.15,38.73,100,90,4.7
noshiro,40.21,26.76,79,75,8.05
sungairaya,0.7,75.82,98,8,3.53
bull savanna,17.89,71.19,86,32,1.68
ulagan,50.63,-23.86,28,12,2.19
bolungarvik,nan,nan,nan,nan,nan
yar-sale,66.83,-14.05,85,20,5.88
baiyin,36.55,-0.41,84,0,4.47
bad oeynhausen,52.2,38.32,86,90,11.41
khalandritsa,nan,nan,nan,nan,nan
syumsi,57.11,14.49,83,92,5.21
yarmouth,50.71,35.6,100,0,4.7
ouadda,8.07,64.71,52,0,8.84
pacifica,37.61,59.45,80,90,5.82
ranong,9.96,80.6,74,20,12.75
maarianhamina,nan,nan,nan,nan,nan
camacha,33.08,60.04,67,40,6.93
bijar,35.87,9.94,61,0,3.2
baoro,5.69,71.05,37,20,8.05
haines junction,60.75,-33.71,54,12,1.97
oktyabrskiy,55.61,13.1,85,0,4.47
qasigiannguit,68.82,8.6,84,88,23.04
clyde river,70.47,-4.01,76,75,17.22
tazmalt,36.39,44.6,81,20,13.87
riohacha,11.54,78.8,78,0,9.17
del rio,29.36,70.18,50,1,3.36
havelock,34.88,61.5,83,1,12.75
barentsburg,nan,nan,nan,nan,nan
connersville,39.64,43.56,67,1,18.19
kimbe,-5.56,78.12,100,76,2.08
karratha,-20.74,87.48,45,68,4.59
nepomuceno,-21.23,68.13,92,32,2.98
mitsamiouli,-11.38,82.8,98,36,9.13
barguzin,53.62,4.41,78,64,4.21
adrar,27.87,48.2,31,0,8.05
bismarck,46.81,18.7,56,1,19.46
tiszanana,47.57,28.4,100,90,6.93
ngaoundere,7.32,57.1,54,0,6.26
gorontalo,0.54,76.9,89,64,2.68
mount isa,-20.73,95,11,0,13.87
la rochelle,46.16,38.91,93,0,6.93
smidovich,48.6,2.88,57,68,8.5
novo aripuana,-5.12,75.06,97,48,3.2
mentok,nan,nan,nan,nan,nan
flinders,-34.58,77,73,75,13.87
nha trang,12.24,78.8,83,40,6.93
lesnoy,59.78,22.5,89,80,6.11
zhigansk,66.77,-39.97,0,0,2.35
vardo,39.62,47.66,79,1,6.93
tabou,4.42,83.29,98,80,8.57
sorong,-0.86,81,100,64,9.35
muros,42.77,41.09,93,0,3.36
mizpe ramon,nan,nan,nan,nan,nan
pyatigorskiy,43.97,23.67,92,90,20.13
rungata,nan,nan,nan,nan,nan
salalah,17.01,77,61,75,6.93
wabana,47.63,19.4,85,90,24.16
belle fourche,44.67,28.4,50,1,17.22
bonavista,48.65,24.12,100,48,24.45
vizinga,61.08,22.95,88,80,5.59
moengo,5.62,77.22,74,0,4.7
port augusta,-32.49,68,56,0,13.87
neryungri,56.66,-9.64,60,44,4.88
alofi,-19.06,84.2,83,75,5.82
teguldet,57.31,14.17,83,88,6.82
macrohon,10.08,78.25,94,0,12.86
amuntai,-2.42,75.15,99,92,2.75
almenara,-16.17,78.57,50,0,6.71
cradock,-32.16,59.85,94,64,2.68
necochea,-38.55,68.35,74,0,11.52
sao felix do xingu,-6.64,74.02,97,8,2.35
okandja,nan,nan,nan,nan,nan
zhanakorgan,43.91,30.96,94,92,7.72
banda aceh,5.56,72.85,100,20,2.19
komsomolskiy,67.55,-7.57,61,48,6.71
broome,52.47,40.23,75,80,11.41
north platte,41.12,39.92,32,1,6.93
belmonte,40.36,30.69,78,0,7
diu,20.71,54.72,70,0,9.73
kalmunai,7.42,72.22,96,88,6.55
florence,34.8,59.85,39,1,12.75
lorengau,-2.02,84.15,97,88,11.14
binga,-17.62,76.14,91,64,3.24
phan thiet,10.93,76,98,8,13.15
leshukonskoye,64.9,7.87,74,80,5.55
luba,17.32,67.09,75,0,4.88
mizoch,50.4,11.79,86,80,11.74
neuquen,-38.95,68,37,75,9.17
basoko,1.23,71.82,96,56,2.46
tabuny,52.78,8.64,79,8,12.26
port hedland,-20.31,91.4,52,0,1.12
nemuro,43.32,24.8,53,20,9.17
igarka,67.47,-9.19,66,44,8.34
vikhorevka,56.12,8.6,84,40,6.71
andapa,-14.66,71.73,99,92,2.08
adre,13.47,62.32,26,8,13.38
berlevag,70.86,27.39,86,75,6.93
korem,12.51,33.34,75,0,1.07
mittagong,-34.45,77,73,75,13.87
beyneu,45.32,4.99,78,20,2.98
pauini,-7.71,77.8,89,36,2.86
barawe,nan,nan,nan,nan,nan
mwene-ditu,-7.01,66.06,94,64,2.86
nabire,-3.36,70.83,96,88,2.19
gostyn,51.88,35.6,100,90,11.41
canon city,39.46,43.69,56,80,6.6
koshurnikovo,54.3,11.25,52,36,4.03
haibowan,nan,nan,nan,nan,nan
olafsvik,nan,nan,nan,nan,nan
presidente olegario,-18.42,67.86,90,32,3.47
stornoway,nan,nan,nan,nan,nan
kalawit,7.91,79.42,69,0,3.76
gunjur,13.18,68,82,0,3.36
athabasca,54.72,-6.71,56,0,5.48
ola,59.58,15.57,99,24,27.74
hobyo,5.35,76.27,86,48,16.67
moses lake,47.13,31.46,92,90,10.29
emba,34.81,44.53,61,75,17.22
gold coast,-28,80.6,65,92,9.17
quatre cocos,-20.21,78.8,78,40,13.87
vaitape,-16.52,81.9,100,76,1.74
eureka,40.8,57.92,100,40,21.92
tuatapere,-46.13,63.54,72,100,16.62
karasjok,69.47,19.4,92,48,12.75
baykit,61.68,-2.26,68,56,5.21
doka,13.52,70.15,51,0,11.36
tayoltita,24.11,76.27,42,80,1.68
makaha,21.47,78.55,58,20,3.36
penzance,50.12,46.4,75,48,13.87
lukulu,-14.38,68.4,90,92,10.02
moron,10.49,68.58,82,8,3.58
pak phanang,8.35,77,100,40,12.3
salinopolis,-0.61,79.42,100,76,9.13
lucapa,-8.42,66.96,97,76,2.01
clemson,34.69,59.67,72,1,11.41
mutis,6.23,76.95,100,36,1.45
caxito,-22.65,78.8,74,0,14.99
sao joao da barra,-21.64,79.47,96,0,25.57
katherine,-14.47,75.2,83,75,8.05
mangrol,25.33,41.67,83,0,2.57
ust-kuyga,70,-47.08,0,24,2.98
sidhpura,27.63,48.06,94,0,8.23
aldan,58.61,-1.13,74,68,2.57
astana,51.13,21.2,92,90,17.9
sistranda,63.73,37.4,69,40,27.51
manta,45.1,5.76,71,44,2.19
key west,47.93,8.6,71,75,28.86
dudinka,69.41,-15.67,69,64,4.59
acapulco,16.86,82.4,78,40,2.24
bloomfield,40.75,38.97,48,1,27.51
sault sainte marie,46.49,29.79,81,90,19.46
alma,40.1,36.5,57,1,5.82
poum,41.28,0.99,64,48,1.86
buraydah,26.33,57.2,71,0,13.87
harrai,22.61,42.3,86,0,1.3
kharan,28.58,39.96,81,0,2.98
sivas,39.75,19.4,92,90,18.34
alyangula,-13.85,89.6,75,75,8.05
kuytun,54.34,8.59,75,76,3.69
lolua,nan,nan,nan,nan,nan
peace river,56.23,-9.41,69,20,5.82
shingu,33.72,42.8,60,40,20.8
goundam,16.42,65.29,37,80,10.13
barra do garcas,-15.89,76.27,80,0,0.67
balkhash,46.84,22.14,97,92,6.04
sungaipenuh,-2.08,67.68,96,76,0.67
erenhot,43.65,-11.48,68,32,5.55
brzeg,50.86,35.6,93,75,12.75
warqla,nan,nan,nan,nan,nan
umzimvubu,nan,nan,nan,nan,nan
bouca,6.51,75.06,40,8,6.11
manaure,11.78,78.8,78,0,9.17
ornskoldsvik,63.29,17.82,68,0,14.99
ossora,59.24,25.11,89,88,20.36
paradwip,nan,nan,nan,nan,nan
effingham,39.12,43.93,56,1,9.17
tsihombe,nan,nan,nan,nan,nan
salinas,36.67,61.05,69,75,3.36
kysyl-syr,63.9,-30.2,49,24,6.04
podgornoye,57.79,9.04,84,76,6.22
brownsville,25.91,74.79,78,90,8.05
port blair,11.67,80.5,100,12,2.86
mugan,35.94,-6.08,50,0,3.36
richards bay,-28.77,70.24,98,92,2.24
kemijarvi,nan,nan,nan,nan,nan
cavalcante,-13.79,74.29,61,88,3.31
tual,-5.67,83.29,100,32,14.76
belaya gora,68.54,-29.21,47,68,3.76
ahuimanu,21.44,78.55,68,40,5.82
madang,-5.21,79.11,99,24,3.2
cap-aux-meules,47.38,24.8,73,90,6.93
puerto madero,-34.61,81.79,69,0,13.87
najran,17.54,59,63,0,2.98
herdecke,51.4,39.2,86,88,12.75
marawi,8,71.73,70,0,3.36
ghatanji,20.14,46.75,78,0,3.69
mkushi,-13.61,65.29,97,92,6.38
ewa beach,21.32,78.51,58,1,11.41
bijapur,nan,nan,nan,nan,nan
mananara,nan,nan,nan,nan,nan
cuite,-6.48,72.85,89,92,5.88
mafinga,nan,nan,nan,nan,nan
opuwo,-18.06,61.24,35,0,4.99
bandarbeyla,9.49,76.59,100,92,15.84
kostino,41.7,19.4,79,12,4.7
ilulissat,69.22,8.6,84,88,23.04
goderich,43.74,36.18,100,92,21.14
hualmay,-11.1,70.74,79,36,3.58
rock sound,24.9,76.99,100,88,7.56
namatanai,-3.66,83.79,99,80,8.5
takoradi,4.89,80.73,100,0,7.27
